Accession,Functional_category,TR08_B05,TR09_B05,TR10_B05,TR11_B05,TR12_B05,TR13_B05,TR14_B05,TR15_B05
BB163_AFKMEEHG_02008,Carbon metabolism,0.278042,0.191719,0.248611,0.148993,0.137392,0.149613,0.166076,0.314495
BB163_AFKMEEHG_00829,Carbon metabolism,0.180928,0.145032,0.087795,0.124962,0.130394,0.160501,0.080091,0.234462
BB163_AFKMEEHG_00310,Carbon metabolism,0.251891,0.136074,0.218994,0.181882,0.122431,0.178761,0.208465,0.367225
BB163_AFKMEEHG_01229,Carbon metabolism,0.267085,0.188756,0.156002,0.179344,0.116884,0.15556,0.214185,0.240355
BB163_AFKMEEHG_00430,Carbon metabolism,0.394664,0.154743,0.172635,0.153686,0.108761,0.213,0.223494,0.848299
BB163_AFKMEEHG_01805,Carbon metabolism,0.240462,0.146137,0.123065,0.150746,0.097481,0.130896,0.122354,0.271686
BB163_AFKMEEHG_00384,Carbon metabolism,0.263701,0.141161,0.168091,0.149462,0.217942,0.209733,0.177788,0.391348
BB163_AFKMEEHG_02260,Carbon metabolism,0.18472,0.228253,0.259737,0.221422,0.249085,0.243765,0.179377,0.212174
BB163_AFKMEEHG_01198,Carbon metabolism,0.061466,0.069622,0.051264,0.074775,0.092717,0.08055,0.063586,0.062229
BB163_AFKMEEHG_00154,Cell division,0.153066,0.090023,0.169108,0.146736,0.131937,0.142838,0.142038,0.151423
BB163_AFKMEEHG_00028,Cell division,0.1558,0.146609,0.102062,0.123258,0.089305,0.104034,0.124142,0.081769
BB163_AFKMEEHG_01721,Cell division,0.08283,0.102069,0.032298,0.075225,0.116019,0.068707,0.081987,0.086254
BB163_AFKMEEHG_00348,Cell envelope & cell wall biogenesis,0.058243,0.127883,0.37094,0.909214,0.887335,0.984958,0.398504,0.144348
BB163_AFKMEEHG_02061,Cell envelope & cell wall biogenesis,0.28763,0.432308,0.643337,0.541794,0.58753,0.574098,0.498227,0.54163
BB163_AFKMEEHG_00047,Cell envelope & cell wall biogenesis,0.140924,0.279957,0.427393,0.497722,0.503091,0.634157,0.341749,0.369808
BB163_AFKMEEHG_01008,Cell envelope & cell wall biogenesis,0.112176,0.180818,0.232473,0.312548,0.310216,0.235206,0.264475,0.245306
BB163_AFKMEEHG_00406,Cell envelope & cell wall biogenesis,0.148444,0.21079,0.164262,0.215381,0.299565,0.250426,0.205011,0.16962
BB163_AFKMEEHG_02062,Cell envelope & cell wall biogenesis,0.168053,0.14002,0.210239,0.215158,0.285183,0.167714,0.145549,0.153125
BB163_AFKMEEHG_01642,Cell envelope & cell wall biogenesis,0.067634,0.06819,0.083513,0.102374,0.167605,0.164799,0.154811,0.11973
BB163_AFKMEEHG_01889,Cell envelope & cell wall biogenesis,0.103866,0.131224,0.115502,0.12228,0.165379,0.125644,0.134936,0.134599
BB163_AFKMEEHG_02194,Cell envelope & cell wall biogenesis,0.09721,0.101048,0.123412,0.099007,0.139814,0.134547,0.123352,0.115353
BB163_AFKMEEHG_00685,Cell envelope & cell wall biogenesis,0.212249,0.187688,0.139698,0.153116,0.129427,0.124552,0.160359,0.14484
BB163_AFKMEEHG_01093,Cell envelope & cell wall biogenesis,0.062668,0.090095,0.057018,0.059022,0.110285,0.106131,0.081414,0.091362
BB163_AFKMEEHG_01409,Cell envelope & cell wall biogenesis,0.045232,0.045323,0.048013,0.072776,0.089077,0.098489,0.102291,0.036635
BB163_AFKMEEHG_01761,DNA replication & repair,0.239344,0.231954,0.189003,0.234459,0.212873,0.262214,0.242495,0.200801
BB163_AFKMEEHG_01349,DNA replication & repair,0.169816,0.140775,0.161862,0.157652,0.175649,0.160816,0.151278,0.127321
BB163_AFKMEEHG_02259,DNA replication & repair,0.12327,0.241663,0.317774,0.203173,0.170448,0.134205,0.177938,0.239615
BB163_AFKMEEHG_00173,DNA replication & repair,0.041342,0.061237,0.045974,0.100588,0.090078,0.136696,0.063656,0.040181
BB163_AFKMEEHG_00346,Electron transport,0.162573,0.2231,0.184894,0.210534,0.24523,0.22616,0.211205,0.21726
BB163_AFKMEEHG_02002,Electron transport,0.087364,0.099338,0.147051,0.138851,0.18779,0.212421,0.18538,0.101892
BB163_AFKMEEHG_00639,Electron transport,0.097909,0.179148,0.144227,0.151493,0.175819,0.172581,0.149406,0.095159
BB163_AFKMEEHG_00641,Electron transport,0.06888,0.18519,0.134291,0.125112,0.141007,0.107128,0.127835,0.129108
BB163_AFKMEEHG_01230,Electron transport,0.219952,0.202665,0.10006,0.151483,0.128565,0.123723,0.204786,0.120248
BB163_AFKMEEHG_00766,Electron transport,0.135662,0.149601,0.108002,0.11679,0.1247,0.104618,0.23132,0.203958
BB163_AFKMEEHG_00768,Electron transport,0.08218,0.120831,0.065424,0.09433,0.123962,0.08947,0.124557,0.179711
BB163_AFKMEEHG_00066,Electron transport,0.099396,0.100214,0.111966,0.147107,0.117803,0.171767,0.135278,0.151807
BB163_AFKMEEHG_00265,Electron transport,0.144769,0.158934,0.14677,0.157774,0.109187,0.132093,0.118219,0.102512
BB163_AFKMEEHG_00023,Electron transport,0.16436,0.18796,0.130848,0.178986,0.108467,0.099411,0.071175,0.129792
BB163_AFKMEEHG_01808,Energy metabolism (respiration & ATP synthesis),0.75674,0.491869,0.913105,0.480227,0.408982,0.610925,0.606338,0.991135
BB163_AFKMEEHG_01241,Energy metabolism (respiration & ATP synthesis),0.362472,0.398936,0.306647,0.318926,0.330935,0.258468,0.297411,0.324479
BB163_AFKMEEHG_01240,Energy metabolism (respiration & ATP synthesis),0.543817,0.301022,0.46568,0.298772,0.300243,0.384386,0.3848,0.54927
BB163_AFKMEEHG_01894,Energy metabolism (respiration & ATP synthesis),0.309818,0.360239,0.388806,0.279218,0.233669,0.178343,0.249825,0.1246
BB163_AFKMEEHG_01809,Energy metabolism (respiration & ATP synthesis),0.127472,0.266561,0.270618,0.270128,0.160235,0.27756,0.165604,0.278757
BB163_AFKMEEHG_01892,Energy metabolism (respiration & ATP synthesis),0.085958,0.113748,0.131976,0.132821,0.133714,0.152073,0.144242,0.172309
BB163_AFKMEEHG_00786,Heavy metal resistance,0.727064,0.547932,0.74742,0.540255,0.409491,0.623653,0.568369,0.784649
BB163_AFKMEEHG_00525,Heavy metal resistance,0.189326,0.296929,0.441405,0.434636,0.330207,0.266239,0.225463,0.069003
BB163_AFKMEEHG_00092,Heavy metal resistance,0.327756,0.325797,0.495607,0.329341,0.243716,0.355155,0.319849,0.376876
BB163_AFKMEEHG_00088,Heavy metal resistance,0.214224,0.183261,0.301223,0.206347,0.150555,0.219092,0.202405,0.255527
BB163_AFKMEEHG_00432,Heavy metal resistance,0.150774,0.185795,0.164615,0.143017,0.146206,0.159458,0.175355,0.163286
BB163_AFKMEEHG_00360,Iron storage/transport,0.1482,0.384401,0.39414,0.571733,0.584664,0.463352,0.483797,0.515209
BB163_AFKMEEHG_00358,Iron storage/transport,0,0,0.088136,0.348973,0.496813,0.590593,0.167797,0
BB163_AFKMEEHG_00351,Iron storage/transport,0.014363,0.020649,0.130681,0.351715,0.377343,0.338805,0.097445,0.01047
BB163_AFKMEEHG_00277,Iron storage/transport,0.519664,0.440295,0.374986,0.261593,0.243271,0.299138,0.325917,0.409279
BB163_AFKMEEHG_00281,Iron storage/transport,0.262199,0.254778,0.181512,0.197288,0.193455,0.165483,0.138228,0.307463
BB163_AFKMEEHG_01599,Methylation,0.417527,0.24738,0.236371,0.199896,0.181945,0.195294,0.233042,0.351693
BB163_AFKMEEHG_01600,Methylation,0.339926,0.114683,0.097099,0.094929,0.104339,0.111885,0.15405,0.247784
BB163_AFKMEEHG_00262,Nitrogen metabolism & fixation,1.009684,1.753636,1.289866,1.27867,1.359434,0.867779,0.585967,0.560936
BB163_AFKMEEHG_00776,Nitrogen metabolism & fixation,0.06618,0.415175,0.391386,0.163617,0.24957,0.096068,0.085977,0.072362
BB163_AFKMEEHG_01021,Nitrogen metabolism & fixation,0.367242,1.576045,1.33652,0.582489,0.397842,0.244737,0.205296,0.03407
BB163_AFKMEEHG_01020,Nitrogen metabolism & fixation,0.353597,1.517083,0.998428,0.396187,0.361714,0.206494,0.193604,0.053327
BB163_AFKMEEHG_01018,Nitrogen metabolism & fixation,0.082,0.282929,0.23874,0.153494,0.105137,0.098201,0.046162,0.005977
BB163_AFKMEEHG_00763,Nucleotide synthesis,0.326642,0.2157,0.156416,0.188227,0.119937,0.131017,0.134006,0.162911
BB163_AFKMEEHG_01408,Nucleotide synthesis,0.130944,0.165434,0.208491,0.14902,0.109733,0.17688,0.163814,0.148477
BB163_AFKMEEHG_01514,Nucleotide synthesis,0.239887,0.206029,0.166292,0.150621,0.103386,0.116074,0.062659,0.099921
BB163_AFKMEEHG_00791,Nucleotide synthesis,0.154257,0.16935,0.392976,0.104604,0.102381,0.161223,0.138944,0.278859
BB163_AFKMEEHG_00416,Nucleotide synthesis,0.174092,0.089034,0.086084,0.082873,0.097049,0.129103,0.098334,0.137936
BB163_AFKMEEHG_00998,Nucleotide synthesis,0.165299,0.102805,0.036302,0.132868,0.094578,0.148935,0.157974,0.191126
BB163_AFKMEEHG_00586,Nucleotide synthesis,0.137589,0.120587,0.036819,0.091472,0.091563,0.093988,0.056077,0.165189
BB163_AFKMEEHG_01048,Phosphorus metabolism,0.055191,0.070329,0.351503,0.102336,0.223738,0.095137,0.155351,0.150865
BB163_AFKMEEHG_01757,Phosphorus metabolism,0.256315,0.336964,0.260641,0.244954,0.142144,0.153205,0.1567,0.208818
BB163_AFKMEEHG_01196,Photosynthesis & phototrophy,0.723047,0.818093,1.09016,0.83907,0.895902,0.839665,0.939337,0.903521
BB163_AFKMEEHG_01218,Photosynthesis & phototrophy,0.149568,0.390957,0.612369,0.493033,0.451223,0.32567,0.388617,0.399758
BB163_AFKMEEHG_00091,Photosynthesis & phototrophy,0.269006,0.295327,0.269227,0.256524,0.304332,0.244057,0.302879,0.254914
BB163_AFKMEEHG_02237,Photosynthesis & phototrophy,0.061131,0.119844,0.155271,0.194315,0.253582,0.212603,0.176484,0.167102
BB163_AFKMEEHG_01833,Photosynthesis & phototrophy,0.138123,0.170205,0.166063,0.163771,0.182305,0.189759,0.187985,0.100683
BB163_AFKMEEHG_02075,Photosynthesis & phototrophy,0.238109,0.290451,0.200593,0.124587,0.179585,0.166419,0.236775,0.205707
BB163_AFKMEEHG_00702,Photosynthesis & phototrophy,0.351362,0.265325,0.248642,0.189974,0.173396,0.217239,0.270499,0.392085
BB163_AFKMEEHG_00576,Photosynthesis & phototrophy,0.113801,0.146609,0.166405,0.12345,0.153269,0.129796,0.193604,0.124431
BB163_AFKMEEHG_00104,Photosynthesis & phototrophy,0.09348,0.281,0.269329,0.242114,0.152758,0.248776,0.29686,0.249849
BB163_AFKMEEHG_00640,Photosynthesis & phototrophy,0.117517,0.201064,0.116642,0.10565,0.145036,0.093049,0.148045,0.0623
BB163_AFKMEEHG_00193,Photosynthesis & phototrophy,0.278242,0.229674,0.293127,0.151717,0.132539,0.219664,0.181794,0.341592
BB163_AFKMEEHG_00192,Photosynthesis & phototrophy,0.18906,0.150609,0.122867,0.150504,0.129011,0.141577,0.116959,0.14875
BB163_AFKMEEHG_00868,Photosynthesis & phototrophy,0.0492,0.084879,0.116386,0.132062,0.126164,0.099986,0.119312,0.086072
BB163_AFKMEEHG_01886,Photosynthesis & phototrophy,0.292296,0.160016,0.190675,0.1792,0.116466,0.172122,0.148072,0.257286
BB163_AFKMEEHG_02065,Photosynthesis & phototrophy,0.132491,0.138528,0.147333,0.145581,0.111029,0.106847,0.101999,0.150231
BB163_AFKMEEHG_01251,Photosynthesis & phototrophy,0.104312,0.11326,0.13871,0.13603,0.108933,0.099006,0.14594,0
BB163_AFKMEEHG_01073,Photosynthesis & phototrophy,0.061442,0.08948,0.050578,0.097135,0.108128,0.101931,0.086157,0.029858
BB163_AFKMEEHG_00276,Photosynthesis & phototrophy,0.109718,0.151427,0.099825,0.145703,0.105921,0.124229,0.14824,0.108769
BB163_AFKMEEHG_02074,Photosynthesis & phototrophy,0.025265,0.052832,0.076623,0.04759,0.101627,0.061124,0.072939,0.073665
BB163_AFKMEEHG_00871,Photosynthesis & phototrophy,0.216816,0.144936,0.158461,0.138088,0.099188,0.126409,0.123136,0.150272
BB163_AFKMEEHG_00872,Photosynthesis & phototrophy,0.124344,0.083577,0.084849,0.087832,0.097131,0.083803,0.088462,0.142432
BB163_AFKMEEHG_01745,Protein metabolism,0.173315,0.231335,0.238211,0.276107,0.328182,0.331879,0.201207,0.204287
BB163_AFKMEEHG_00295,Protein metabolism,0.142089,0.199388,0.24835,0.192811,0.219971,0.217113,0.161924,0.163537
BB163_AFKMEEHG_01426,Protein metabolism,0.081761,0.123955,0.151257,0.111656,0.143885,0.120663,0.160508,0.139062
BB163_AFKMEEHG_00823,Protein metabolism,0.283724,0.210779,0.249991,0.158222,0.139656,0.177749,0.150025,0.222055
BB163_AFKMEEHG_01841,Protein metabolism,0.169963,0.123285,0.127577,0.096045,0.099346,0.095604,0.103042,0.136281
BB163_AFKMEEHG_00121,Protein metabolism,0.065866,0.043705,0.087587,0.110947,0.118461,0.136064,0.175527,0.132957
BB163_AFKMEEHG_01858,Protein metabolism,0.086437,0.100417,0.110683,0.106283,0.115896,0.139414,0.102589,0.084009
BB163_AFKMEEHG_01774,Protein metabolism,0.136408,0.16989,0.143577,0.141698,0.183572,0.155303,0.189953,0.140375
BB163_AFKMEEHG_01418,Protein metabolism,0.240091,0.303329,0.266986,0.251248,0.176049,0.208142,0.15788,0.194456
BB163_AFKMEEHG_01192,Protein metabolism,0.102756,0.152205,0.114267,0.118957,0.167917,0.128445,0.145855,0.13316
BB163_AFKMEEHG_02016,Protein metabolism,0.226229,0.291209,0.275737,0.214074,0.167406,0.164198,0.199632,0.192909
BB163_AFKMEEHG_01778,Protein metabolism,0.074125,0.09042,0.078682,0.078539,0.093177,0.101622,0.117698,0.090054
BB163_AFKMEEHG_00397,Protein metabolism,0.022257,0.049867,0.034715,0.060641,0.088729,0.064617,0.049568,0.018542
BB163_AFKMEEHG_01175,Quorum sensing,0.319043,0.260193,0.069667,0.324522,0.375378,0.250088,0.176845,0.334889
BB163_AFKMEEHG_00401,RNA metabolism,0.508239,0.451417,0.434104,0.503705,0.434169,0.446046,0.287465,0.468762
BB163_AFKMEEHG_01937,RNA metabolism,0.146498,0.164114,0.203108,0.208606,0.336734,0.298733,0.34439,0.145773
BB163_AFKMEEHG_01837,RNA metabolism,0.183294,0.214295,0.266828,0.2613,0.263917,0.261233,0.26843,0.204057
BB163_AFKMEEHG_01586,RNA metabolism,0.246187,0.193054,0.19802,0.194061,0.261025,0.20199,0.244122,0.161249
BB163_AFKMEEHG_01770,RNA metabolism,0.830931,0.586435,0.850513,0.190757,0.109672,0.165851,0.575729,1.150818
BB163_AFKMEEHG_01843,Secretion systems,0.20246,0.203417,0.218744,0.22569,0.283923,0.26634,0.287682,0.166028
BB163_AFKMEEHG_00298,Secretion systems,0.067739,0.069055,0.067794,0.086128,0.127724,0.108163,0.117336,0.088879
BB163_AFKMEEHG_01747,Secretion systems,0.113754,0.142436,0.140222,0.11664,0.112086,0.134497,0.111233,0.13374
BB163_AFKMEEHG_02271,Secretion systems,0.014326,0.03932,0.110795,0.086018,0.170181,0.119579,0.086856,0.099208
BB163_AFKMEEHG_01223,Secretion systems,0.122666,0.172481,0.192424,0.098599,0.14994,0.178062,0.175845,0.21583
BB163_AFKMEEHG_01732,Secretion systems,0.212359,0.179588,0.215943,0.138239,0.141321,0.16622,0.183922,0.206395
BB163_AFKMEEHG_00225,Secretion systems,0.0912,0.12873,0.10787,0.109515,0.123811,0.122457,0.12638,0.146253
BB163_AFKMEEHG_01613,Secretion systems,0.0912,0.095355,0.069147,0.078736,0.095533,0.077225,0.074599,0.029546
BB163_AFKMEEHG_00136,Signal transduction,0.104772,0.125978,0.169467,0.159527,0.198429,0.201094,0.187533,0.142561
BB163_AFKMEEHG_01266,Stress response & redox homeostasis,2.206734,3.444907,1.741305,2.410319,2.773912,2.57056,1.291851,1.524164
BB163_AFKMEEHG_02066,Stress response & redox homeostasis,0.588252,0.653117,0.588205,0.594486,0.612788,0.813753,0.6255,0.602864
BB163_AFKMEEHG_00244,Stress response & redox homeostasis,0.993748,0.488696,0.681943,0.577029,0.609761,0.745716,0.474101,0.7121
BB163_AFKMEEHG_00312,Stress response & redox homeostasis,0.193082,0.254811,0.201381,0.266121,0.252179,0.235844,0.252878,0.205966
BB163_AFKMEEHG_02067,Stress response & redox homeostasis,0.283272,0.299882,0.141752,0.140066,0.128188,0.37008,0.110403,0.061946
BB163_AFKMEEHG_02166,Stress response & redox homeostasis,0.167928,0.219474,0.234273,0.166066,0.109766,0.113757,0.116352,0.081605
BB163_AFKMEEHG_00435,Stress response & redox homeostasis,0.102444,0.106442,0.076896,0.092263,0.100443,0.115249,0.102034,0.056006
BB163_AFKMEEHG_01527,Stress response & redox homeostasis,0.07033,0.137877,0.095983,0.128336,0.097246,0.119106,0.106596,0.076898
BB163_AFKMEEHG_00108,Stress response & redox homeostasis,0.192802,0.123701,0.164787,0.107301,0.096942,0.135696,0.182164,0.204422
BB163_AFKMEEHG_00963,Stress response & redox homeostasis,0.109333,0.068589,0.099475,0.081091,0.094829,0.099193,0.118365,0.087666
BB163_AFKMEEHG_02163,Stress response & redox homeostasis,0.096371,0.100762,0.070145,0.104379,0.092067,0.102588,0.122417,0.159229
BB163_AFKMEEHG_00960,Sulfur metabolism,0.184933,0.184751,0.154429,0.137789,0.126104,0.104806,0.171139,0.155117
BB163_AFKMEEHG_01844,Sulfur metabolism,0.147828,0.323903,0.474705,0.316335,0.396788,0.350285,0.312551,0.437367
BB163_AFKMEEHG_00966,Sulfur metabolism,0.254766,0.31043,0.278155,0.296241,0.387253,0.32146,0.359831,0.399987
BB163_AFKMEEHG_01010,Sulfur metabolism,0.127183,0.119681,0.243004,0.134758,0.105516,0.156927,0.143198,0.2225
BB163_AFKMEEHG_00961,Sulfur metabolism,0.109391,0.116975,0.04524,0.063221,0.090005,0.050525,0.137807,0.130482
BB163_AFKMEEHG_00880,Transcription,0.678298,0.701756,0.622326,0.736811,0.838305,0.723987,0.691138,0.614927
BB163_AFKMEEHG_02254,Transcription,0.434321,0.415016,0.361141,0.43479,0.484848,0.460322,0.38488,0.402553
BB163_AFKMEEHG_02255,Transcription,0.361413,0.34127,0.36865,0.342744,0.46688,0.426602,0.37692,0.379217
BB163_AFKMEEHG_02157,Transcription,0.275256,0.283126,0.276457,0.361088,0.231867,0.259457,0.213628,0.260576
BB163_AFKMEEHG_02183,Transcription,0.204827,0.167455,0.186359,0.197016,0.131475,0.151828,0.147203,0.196956
BB163_AFKMEEHG_02063,Transcription,0.07043,0.065271,0.034953,0.063318,0.091751,0.060413,0.060999,0.028003
BB163_AFKMEEHG_00881,Translation & ribosome,1.142018,0.967763,1.223398,0.949808,1.285041,0.955887,1.316129,0.765323
BB163_AFKMEEHG_01728,Translation & ribosome,1.01142,1.093558,1.115427,0.974231,1.236703,0.989913,0.942343,0.826623
BB163_AFKMEEHG_00906,Translation & ribosome,0.853901,1.014984,0.866869,0.952373,1.17958,1.063386,1.455757,0.917277
BB163_AFKMEEHG_02251,Translation & ribosome,0.849073,1.107569,0.883939,1.049579,1.089881,1.042903,1.145487,0.880769
BB163_AFKMEEHG_00907,Translation & ribosome,0.590398,0.680433,0.537166,0.625559,0.971533,0.805086,0.945201,0.652063
BB163_AFKMEEHG_00894,Translation & ribosome,0.620158,0.886805,0.937638,0.914773,0.949219,0.986277,0.758277,0.65149
BB163_AFKMEEHG_00673,Translation & ribosome,0.557164,0.47575,0.664639,0.725906,0.831102,0.745878,0.71847,0.613716
BB163_AFKMEEHG_00902,Translation & ribosome,0.806492,0.833658,0.650392,0.608523,0.774157,0.558748,0.888993,0.774932
BB163_AFKMEEHG_00901,Translation & ribosome,0.600941,0.575963,0.587259,0.613147,0.755396,0.77002,0.790342,0.519166
BB163_AFKMEEHG_00891,Translation & ribosome,0.747838,0.757479,0.859963,0.660312,0.705036,0.5654,0.638699,0.575409
BB163_AFKMEEHG_01182,Translation & ribosome,0.918735,0.632282,0.844667,0.680734,0.675962,0.720447,0.631558,0.721213
BB163_AFKMEEHG_00330,Translation & ribosome,0.175274,0.381794,0.301223,0.605286,0.67566,0.720884,0.843353,0.198743
BB163_AFKMEEHG_01731,Translation & ribosome,0.725514,0.820572,0.660099,0.561758,0.652421,0.597467,0.857954,0.488171
BB163_AFKMEEHG_01343,Translation & ribosome,0.301547,0.311139,0.580486,0.493272,0.615261,0.569047,0.577317,0.504402
BB163_AFKMEEHG_00887,Translation & ribosome,0.433828,0.445496,0.422907,0.474257,0.592074,0.419833,0.617278,0.557171
BB163_AFKMEEHG_01166,Translation & ribosome,0.724649,0.613711,0.580195,0.685905,0.579332,0.55751,0.991626,0.380319
BB163_AFKMEEHG_00083,Translation & ribosome,0.64063,0.498948,0.559078,0.477148,0.539049,0.616799,0.581265,0.673464
BB163_AFKMEEHG_00909,Translation & ribosome,1.17028,0.649108,0.787752,0.591424,0.51308,0.963337,0.745756,1.345473
BB163_AFKMEEHG_00911,Translation & ribosome,0.542785,0.652646,0.526769,0.451568,0.509445,0.525274,0.668588,0.597878
BB163_AFKMEEHG_01167,Translation & ribosome,1.014508,0.977392,0.659312,0.890653,0.470024,0.55751,0.809619,0.443706
BB163_AFKMEEHG_01165,Translation & ribosome,0.378972,0.29718,0.333309,0.374772,0.457321,0.40342,0.382928,0.313078
BB163_AFKMEEHG_00676,Translation & ribosome,0.276375,0.382458,0.369788,0.252641,0.416891,0.306791,0.408329,0.331815
BB163_AFKMEEHG_00904,Translation & ribosome,0.308248,0.257485,0.335328,0.35974,0.41443,0.423138,0.528138,0.332155
BB163_AFKMEEHG_00910,Translation & ribosome,0.758445,0.526128,0.733492,0.440208,0.408021,0.594752,0.597166,0.881478
BB163_AFKMEEHG_00895,Translation & ribosome,0.233699,0.403174,0.276417,0.264125,0.317266,0.288354,0.42505,0.408843
BB163_AFKMEEHG_00900,Translation & ribosome,0.364799,0.286066,0.484032,0.30063,0.309528,0.286837,0.368607,0.265914
BB163_AFKMEEHG_00882,Translation & ribosome,0.309145,0.196248,0.227696,0.322357,0.288676,0.235064,0.356997,0.257539
BB163_AFKMEEHG_00905,Translation & ribosome,0.28763,0.267843,0.228984,0.215871,0.271168,0.221811,0.342531,0.262079
BB163_AFKMEEHG_01855,Translation & ribosome,0.105826,0.082986,0.096284,0.049835,0.266051,0.102412,0.213862,0.154281
BB163_AFKMEEHG_00879,Translation & ribosome,0.401524,0.245988,0.388153,0.274761,0.255516,0.254999,0.380358,0.347563
BB163_AFKMEEHG_00898,Translation & ribosome,0.294093,0.230621,0.267577,0.237415,0.253496,0.182961,0.363874,0.18375
BB163_AFKMEEHG_00883,Translation & ribosome,0.194438,0.187659,0.176907,0.242995,0.225612,0.260536,0.259078,0.21805
BB163_AFKMEEHG_02158,Translation & ribosome,0.217487,0.175242,0.223294,0.197318,0.1851,0.191162,0.224654,0.189077
BB163_AFKMEEHG_00892,Translation & ribosome,0.099902,0.100724,0.142834,0.120973,0.172223,0.124302,0.123606,0.187256
BB163_AFKMEEHG_00889,Translation & ribosome,0.336962,0.306856,0.30658,0.207307,0.163962,0.173565,0.273011,0.28524
BB163_AFKMEEHG_01125,Translation & ribosome,0.131662,0.185842,0.119791,0.130202,0.158881,0.133785,0.250868,0.191945
BB163_AFKMEEHG_00893,Translation & ribosome,0.021007,0,0.038225,0.044515,0.158435,0.04574,0.036387,0
BB163_AFKMEEHG_00274,Translation & ribosome,0.313649,0.159148,0.330133,0.158562,0.136833,0.214257,0.229037,0.390015
BB163_AFKMEEHG_02180,Translation & ribosome,0.143815,0.177219,0.130848,0.072562,0.123962,0.08947,0.160144,0.089856
BB163_AFKMEEHG_00670,Translation & ribosome,0.195331,0.185996,0.152331,0.167542,0.115752,0.162025,0.120839,0.183064
BB163_AFKMEEHG_00678,Translation & ribosome,0.151845,0.104189,0.11225,0.100555,0.114524,0.103322,0.197268,0.110685
BB163_AFKMEEHG_01164,Translation & ribosome,0.158658,0.171492,0.13655,0.136303,0.106726,0.171176,0.152268,0.181291
BB163_AFKMEEHG_02252,Translation & ribosome,0.173916,0.170475,0.187904,0.115171,0.106575,0.134118,0.094142,0.269393
BB163_AFKMEEHG_01168,Translation & ribosome,0.263323,0.108408,0.119791,0.102302,0.099301,0.157675,0.136837,0.220737
BB163_AFKMEEHG_00920,Translation & ribosome,0.148653,0.098636,0.130048,0.109042,0.099179,0.078845,0.118843,0.17504
BB163_AFKMEEHG_00372,Translation & ribosome,0,0.061087,0,0.110052,0.097922,0.094233,0.202405,0
BB163_AFKMEEHG_00239,Translation & ribosome,0.063376,0.024849,0.028831,0.089534,0.095598,0.091997,0.054889,0.046197
BB163_AFKMEEHG_00890,Translation & ribosome,0.094265,0.135521,0.128649,0.188661,0.094795,0.136836,0.108856,0.160331
BB163_AFKMEEHG_02120,Translation & ribosome,0.10428,0.110979,0.094878,0.121013,0.089885,0.070281,0.090316,0.065154
BB163_AFKMEEHG_02253,Translation & ribosome,0,0,0,0,0.089528,0.107695,0,0
